p,d,q,MAE,RMSE,R2
1,0,1,2076.1481447482624,2478.0863709069936,-1.3669345525195093
1,0,0,2077.1860368978855,2478.986797455705,-1.3519765799622316
1,0,2,2095.678854592814,2500.0816833395797,-1.4342740065364004
2,0,0,2100.9314328222604,2506.024840987055,-1.481474841953211
0,0,1,2131.44409565249,2529.8374077055482,-1.6104609793906126
0,0,2,2137.4071108143958,2538.363250574919,-1.6275699322892558
0,0,0,2142.8075671837446,2539.176037008161,-1.6564382457006002
2,0,1,2154.4502351028564,2565.0088785693224,-1.6805472566243873
2,0,2,2204.083160367773,2619.653022127472,-2.662225791286864
0,1,1,2201.8719918999795,2620.3574364136816,-1.5106457039092231
1,1,1,2229.8229420921266,2644.283542695286,-1.6723295653491506
1,1,0,2228.049008074824,2649.421416024877,-1.6233380726849045
0,1,0,2226.212561663143,2650.7805331772624,-1.5944566371948694
2,1,0,2268.421657378112,2676.384363530229,-1.7135161844081563
0,1,2,2293.764653837136,2699.5903263257565,-1.724793583807024
2,1,1,2320.340818892458,2732.167598355586,-2.0640796222070694
1,1,2,2372.607602925881,2784.701883540013,-2.2956319342847764
2,1,2,3885.17131873756,4347.538253912649,-1089.147806671449
