AIRLINE_ID,UNIQUE_CARRIER_ENTITY,ORIGIN,DEST,AIRCRAFT_TYPE,YEAR_MONTH
19393,11033,ATL,CUN,612,13
19393,11033,ATL,CUN,614,5
19393,11033,ATL,CUN,838,6
19393,11033,ATL,MBJ,612,1
19393,11033,ATL,PUJ,612,4
19393,11033,ATL,PUJ,614,1
19393,11033,AUA,BWI,612,34
19393,11033,AUA,BWI,614,12
19393,11033,AUA,BWI,838,10
19393,11033,AUA,FLL,612,1
19393,11033,AUA,IAD,612,1
19393,11033,AUA,MCO,612,31
19393,11033,AUA,MCO,614,18
19393,11033,AUA,MCO,838,14
19393,11033,AUA,RDU,614,1
19393,11033,AUA,TPA,612,5
19393,11033,AUS,CUN,612,35
19393,11033,AUS,CUN,614,20
19393,11033,AUS,CUN,838,21
19393,11033,AUS,CZM,612,11
19393,11033,AUS,CZM,614,1
19393,11033,AUS,CZM,838,3
19393,11033,AUS,PVR,612,19
19393,11033,AUS,PVR,614,3
19393,11033,AUS,PVR,838,1
19393,11033,AUS,SJD,612,29
19393,11033,AUS,SJD,614,12
19393,11033,AUS,SJD,838,10
19393,11033,BNA,CUN,612,27
19393,11033,BNA,CUN,614,19
19393,11033,BNA,CUN,838,22
19393,11033,BNA,MBJ,612,1
19393,11033,BNA,PUJ,614,1
19393,11033,BWI,AUA,612,34
19393,11033,BWI,AUA,614,13
19393,11033,BWI,AUA,838,9
19393,11033,BWI,BZE,612,7
19393,11033,BWI,BZE,614,2
19393,11033,BWI,BZE,838,1
19393,11033,BWI,CUN,612,35
19393,11033,BWI,CUN,614,29
19393,11033,BWI,CUN,838,26
19393,11033,BWI,GCM,612,19
19393,11033,BWI,GCM,614,1
19393,11033,BWI,KIN,612,1
19393,11033,BWI,KIN,838,2
19393,11033,BWI,LIR,612,26
19393,11033,BWI,LIR,614,13
19393,11033,BWI,LIR,838,18
19393,11033,BWI,MBJ,612,10
19393,11033,BWI,MBJ,614,36
19393,11033,BWI,MBJ,838,35
19393,11033,BWI,NAS,612,27
19393,11033,BWI,NAS,614,8
19393,11033,BWI,NAS,838,7
19393,11033,BWI,PLS,612,21
19393,11033,BWI,PUJ,612,34
19393,11033,BWI,PUJ,614,29
19393,11033,BWI,PUJ,838,27
19393,11033,BWI,SJD,612,13
19393,11033,BWI,SJO,612,16
19393,11033,BWI,SJO,614,13
19393,11033,BWI,SJO,838,17
19393,11033,BZE,BWI,612,7
19393,11033,BZE,BWI,614,2
19393,11033,BZE,BWI,838,1
19393,11033,BZE,COS,612,1
19393,11033,BZE,COS,838,1
19393,11033,BZE,DEN,612,27
19393,11033,BZE,DEN,614,2
19393,11033,BZE,DEN,838,9
19393,11033,BZE,HOU,612,36
19393,11033,BZE,HOU,614,15
19393,11033,BZE,HOU,838,17
19393,11033,BZE,HRL,612,1
19393,11033,BZE,IAH,838,1
19393,11033,BZE,MCI,612,1
19393,11033,BZE,SAT,612,3
19393,11033,CHS,MBJ,614,1
19393,11033,CMH,CUN,612,12
19393,11033,CMH,CUN,614,8
19393,11033,CMH,CUN,838,12
19393,11033,CRP,SJD,612,1
19393,11033,CUN,ABQ,612,1
19393,11033,CUN,ATL,612,14
19393,11033,CUN,ATL,614,4
19393,11033,CUN,ATL,838,6
19393,11033,CUN,AUS,612,35
19393,11033,CUN,AUS,614,18
19393,11033,CUN,AUS,838,21
19393,11033,CUN,BHM,612,1
19393,11033,CUN,BNA,612,31
19393,11033,CUN,BNA,614,13
19393,11033,CUN,BNA,838,19
19393,11033,CUN,BWI,612,36
19393,11033,CUN,BWI,614,29
19393,11033,CUN,BWI,838,24
19393,11033,CUN,CLE,612,1
19393,11033,CUN,CMH,612,16
19393,11033,CUN,CMH,614,6
19393,11033,CUN,CMH,838,9
19393,11033,CUN,COS,612,3
19393,11033,CUN,COS,614,1
19393,11033,CUN,COS,838,1
19393,11033,CUN,CRP,612,1
19393,11033,CUN,DAL,612,1
19393,11033,CUN,DEN,612,36
19393,11033,CUN,DEN,614,21
19393,11033,CUN,DEN,838,21
19393,11033,CUN,FLL,612,28
19393,11033,CUN,FLL,614,15
19393,11033,CUN,FLL,838,12
19393,11033,CUN,HOU,612,36
19393,11033,CUN,HOU,614,32
19393,11033,CUN,HOU,838,30
19393,11033,CUN,IAD,612,1
19393,11033,CUN,IAD,614,1
19393,11033,CUN,IAD,838,1
19393,11033,CUN,IAH,612,1
19393,11033,CUN,IND,612,28
19393,11033,CUN,IND,614,11
19393,11033,CUN,IND,838,14
19393,11033,CUN,JAX,838,1
19393,11033,CUN,LAS,612,1
19393,11033,CUN,LAX,612,2
19393,11033,CUN,MCI,612,26
19393,11033,CUN,MCI,614,16
19393,11033,CUN,MCI,838,19
19393,11033,CUN,MCO,612,4
19393,11033,CUN,MCO,614,7
