p,d,q,P,D,Q,MAE,RMSE,R2
0,0,0,1,1,0,2009.9149048625793,2521.7826061907795,-2.3353826348296893
0,0,1,0,1,1,2126.5114935645224,2626.7535207375076,-2.4167153550770126
0,0,1,1,1,1,2126.5114935645224,2626.7535207375076,-2.4167153550770126
0,0,1,1,1,0,2126.65833251196,2626.907351507081,-2.4174946373811217
0,0,1,0,1,0,2126.943020929979,2627.4696554887087,-2.4156344575476827
0,0,0,0,1,0,2139.13125440451,2641.9503130078538,-2.4719548997751337
0,0,0,0,1,1,2139.13125440451,2641.9503130078538,-2.4719548997751333
0,0,0,1,1,1,2139.13125440451,2641.9503130078538,-2.4719548997751333
1,0,0,0,1,0,2230.1331218204546,2742.2208684723505,-4.01138454644626
1,0,0,1,1,1,2230.133139234954,2742.2208872891806,-4.011384644132538
1,0,0,1,1,0,2230.133139234954,2742.2208872891806,-4.011384644132538
1,0,0,0,1,1,2230.133139234954,2742.2208872891806,-4.011384644132538
0,1,0,1,1,0,2766.0311839323467,3252.3800525905517,-5.148002170972913
1,1,0,0,1,1,2816.582744316596,3319.3585817926632,-7.078137573184352
1,1,0,0,1,0,2816.5827443165963,3319.3585817926632,-7.078137573184357
1,1,0,1,1,1,2816.582744316596,3319.3585817926632,-7.078137573184352
1,1,0,1,1,0,2816.582744316596,3319.3585817926632,-7.078137573184352
1,0,1,0,1,0,2981.7649498866895,3878.1598485363393,-34.71231039667137
0,1,1,0,1,0,3893.6577276893486,4325.024967011256,-11.925279939747824
0,1,1,1,1,1,3891.7141581391616,4328.415344351664,-11.824628064565736
0,1,1,0,1,1,3891.7141581391616,4328.415344351664,-11.824628064565736
0,1,1,1,1,0,3892.707111006138,4328.916246177973,-11.822339729916772
0,1,0,1,1,1,3914.2287996241485,4350.382505029888,-11.925213836451896
0,1,0,0,1,1,3914.2287996241485,4350.382505029888,-11.925213836451896
0,1,0,0,1,0,3914.228799624148,4350.382505029888,-11.925213836451897
1,1,1,0,1,0,3969.3978005750405,4440.683588019404,-24.354883340687465
1,1,1,1,1,0,785058667140.066,2530629696311.895,-1.2488307980345203e+22
1,1,1,0,1,1,785058667140.7086,2530629696313.369,-1.2488307980345314e+22
1,1,1,1,1,1,785058667140.7086,2530629696313.369,-1.2488307980345314e+22
1,0,1,0,1,1,5.32272683419504e+18,1.8072491591511093e+19,-5.146390598324065e+35
1,0,1,1,1,1,5.32272683419504e+18,1.8072491591511093e+19,-5.146390598324065e+35
1,0,1,1,1,0,5.322726834195091e+18,1.8072491591511265e+19,-5.146390598324163e+35
